id,label,lat,lng
QAT,Qatar,25.27932,51.52245
KOR,Korea (Republic of - South),37.566,126.9784
MDA,Moldova (Republic of),47.00556,28.8575
REU,Reunion,-20.88231,55.4504
ROU,Romania,44.43225,26.10626
RUS,Russian Federation,55.75222,37.61556
RWA,Rwanda,-1.94995,30.05885
SHN,Saint Helena,-15.93333333,-5.716667
KNA,Saint Kitts and Nevis,17.29484,-62.7261
LCA,Saint Lucia,14,-61
VCT,Saint Vincent and the Grenadines,13.15872,-61.22475
WSM,Samoa,-13.83333,-171.76666
STP,Sao Tome and Principe,0.333333333,6.733333
SAU,Saudi Arabia,24.68773,46.72185
SEN,Senegal,14.6937,-17.44406
SRB,Serbia,44.80401,20.46513
SCG,Serbia and Montenegro,44.80401,20.46513
SYC,Seychelles,-4.61667,55.45
SLE,Sierra Leone,8.484,-13.22994
SGP,Singapore,1.28967,103.85007
SVK,Slovakia,48.14816,17.10674
SVN,Slovenia,46.05108,14.50513
SLB,Solomon Islands,-9.43333,159.95
SOM,Somalia,2.066666667,45.333333
ZAF,South Africa,-25.74486,28.18783
ESP,Spain,40.4165,-3.70256
LKA,Sri Lanka,6.93194,79.84778
PSE,Palestine,31.76666667,35.233333
SDN,Sudan,15.55177,32.53241
SUR,Suriname,5.833333333,-55.166667
SWZ,Swaziland,-26.31666667,31.133333
SWE,Sweden,59.33258,18.0649
CHE,Switzerland,46.94809,7.44744
SYR,Syrian Arab Republic,33.5102,36.29128
TWN,Taiwan (Province of China),25.04776,121.53185
TJK,Tajikistan,38.53575,68.77905
THA,Thailand,13.75398,100.50144
MKD,Former Yugoslav Rep. of Macedonia,41.99646,21.43141
TLS,Timor-Leste,-8.583333333,125.6
TGO,Togo,6.13748,1.21227
TKL,Tokelau,-9.166667,-171.833333
TON,Tonga,-21.13333333,-175.2
TTO,Trinidad and Tobago,10.66668,-61.51889
TUN,Tunisia,36.81897,10.16579
TUR,Turkey,39.91987,32.85427
TCA,Turks and Caicos Islands,21.46122,-71.14188
TUV,Tuvalu,-8.516666667,179.216667
UGA,Uganda,0.31628,32.58219
UKR,Ukraine,50.45466,30.5238
ARE,United Arab Emirates,24.46667,54.36667
GBR,United Kingdom,51.50853,-0.12574
TZA,Tanzania (United Republic of),-6.17221,35.73947
USA,United States of America,38.9072,-77.0369
VIR,US Virgin Islands,18.3419,-64.9307
URY,Uruguay,-34.90328,-56.18816
UZB,Uzbekistan,41.26465,69.21627
VUT,Vanuatu,-17.73381,168.32188
VEN,Venezuela (Bolivarian Republic of),10.48801,-66.87919
VNM,Viet Nam,21.0245,105.84117
YEM,Yemen,15.35472,44.20667
ZMB,Zambia,-15.40669,28.28713
ZWE,Zimbabwe,-17.82772,31.05337
ANS,ANS,0,0
ATA,Antarctica,-82.862755,135
ATF,French Southern Territories (the),49.2804,69.3486
BES,"Bonaire, Sint Eustatius and Saba",12.20189,-68.262383
BLM,Saint Barthélemy,17.89502,-62.849319
BVT,Bouvet Island,-54.420792,3.34645
CCK,Cocos (Keeling) Islands (the),-12.1409,96.82352
CUB,Cuba,21.521757,-77.781166
CUW,Curaçao,12.12161,-68.949417
CXR,Christmas Island,-10.447525,105.690453
ESH,Western Sahara,24.215527,-12.885834
FLK,Falkland Islands (the) [Malvinas],-51.70098,-57.84919
GRL,Greenland,71.70694,-42.604301
HMD,Heard Island and McDonald Islands,-53.055161,73.231598
KIR,Kiribati,-3.370417,-168.734039
MSR,Montserrat,16.742498,-62.187366
PCN,Pitcairn,-24.376755,-128.324234
SGS,South Georgia and the South Sandwich Islands,-56.56559,-34.02269
SMR,San Marino,43.94236,12.457777
SPM,Saint Pierre and Miquelon,46.777969,-56.178322
SSD,South Sudan,6.876992,31.306978
SXM,Sint Maarten (Dutch part),18.03471,-63.075481
TKM,Turkmenistan,38.969719,59.556278
UMI,United States Minor Outlying Islands (the),6.41093,-162.46546
VAT,Holly See,30.03376,-95.8116
WLF,Wallis and Futuna,-14.2938,-178.116501
